Code,Slug,Modus,Beschreibung,Regel,Übungstyp,Beispiel 1,Beispiel 2,Beispiel 3
B2.4.2,SUBORD:INF:KORR,kann,"Wenn ein einfacher zu-Infinitiv von einem Verweiswort/Korrelat begleitet wird, kann ein Komma gesetzt werden. ",§75 E1,selbst/mark,"Er dachte nicht daran(,)(B2.4.2) zu gehen.",,
B2.5,SUBORD:INFP,kann,"Bei Infinitivphrasen kann ein Komma gesetzt werden, um Missverständnisse zu vermeiden oder die Gliederung des Ganzsatzes zu verdeutlichen.",§75 E2,MC + B,"Er empfahl korrupten Politikern(,)(B2.5) die Rente zu streichen. vs. Er empfahl(,)(B2.5) korrupten Politikern die Rente zu streichen.",,
C1,PARANTHESE,muss,"Parenthesen werden durch Kommas abgegrenzt. Paranthesen sind Einschübe, die nicht in die syntaktische Struktur des Satzes integriert sind.",§77 (1),selbst,"Eines Tages,(C1) es war mitten im Sommer,(C1) hagelte es.",,
C2,APPOSITION,muss,(Weite) Appositionen werden durch Komma(s) abgegrenzt.,§77 (2),Bild + MC,"Mein Bruder,(C2) ein großer Tierfreund,(C2) und seine Katzen lebten in einer alten Mühle.",,
C3.1,ORT:NOPRÄP,muss,"Bei mehrteiligen Orts-, Wohnungs-, Zeit- und Literaturangaben ohne Präposition muss ein Komma gesetzt werden.",§77 (3),mark,"Die Tagung findet Mittwoch,(C3.1) den 14. November(,)(C3.2) statt.",,
C3.2,ORT:NOPRÄP:SCHLIESS,muss,"Bei mehrteiligen Orts-, Wohnungs-, Zeit- und Literaturangaben ohne Präposition kann das schließende Komma weggelassen werden.",§77 (4),mark,"Die Zeitschrift Spektrum, Jahrgang 29, Heft 2, Seite 34(,)(C3.2) hat darüber berichtet.",,
C4.1,ERLÄUT:NACH,muss,"Bei nachgestellten Erläuterungen (häufig mit <em>also</em>; <em>besonders</em>; <em>das heißt</em>; <em>insbesondere</em>,... eingeleitet) muss ein Komma gesetzt werden.",§77 4,MC + B,"Auf der Ausstellung waren viele ausländische Firmen,(C4.1) insbesondere holländische,(C4.1) vertreten.",,
C5,HINWEIS,muss,"Bei Wörtern/Wortgruppen, die durch ein/e hinweisende/s Wort/Wortgruppe angekündigt od. wieder aufgenommen werden, muss ein Komma gesetzt werden.",§77 (5),selbst,"Sie,(C5) die Gärtnerin, weiß das ganz genau. Denn die Gärtnerin,(C5) die weiß das ganz genau.",,
C6.1,EIGENNAME:TITEL,kann,Bei Eigennamen nach einem Titel (z.B. Berufsbezeichnung) kann ein Komma hinzugefügt werden.,§77 (2) E1,mark,"Der Erfinder des Buchdrucks(,)(C6.1) Johannes Gutenberg(,)(C6.1) wurde in Mainz geboren.",,
C6.2,NACHTRAG:PRÄP,kann,"Der/Die Schreiber/in entscheidet, ob er/sie etwas durch Komma(s) als Zusatz/Nachtrag kennzeichnen will, hier bei Gefügen mit Präpositionen.",§78,selbst/mark,"Der Kranke hatte(,)(C6.2) entgegen ärztlichem Verbot(,)(C6.2) am Wettkampf teilgenommen.",,
C6.3.1,NACHTRAG:INF:PARTIZ,kann,"Der/Die Schreiber/in entscheidet, ob er/sie etwas durch Komma(s) als Zusatz/Nachtrag kennzeichnen will, hier bei Infinitiv-, Partizip-, Adjektivgruppen o.ä.",§78 (3),selbst/mark,"Sie kam(,)(C6.3.1) aus vollem Halse lachend(,)(C6.3.1) zu mir.",,
C6.3.2,PARTIZIPGRUPPE,muss,"Bei Partizip-, Adjektivgruppen o.ä. muss das Komma gesetzt werden.",§77 (7),selbst/mark,"Sie,(C6.3.2) aus vollem Halse lachend,(C6.3.2) kam zu mir.",,
C6.4,NACHTRAG:WIE,kann,"Der/Die Schreiber/in entscheidet, ob er/sie etwas durch Komma(s) als Zusatz/Nachtrag kennzeichnen will, hier bei Gefügen mit <em>wie</em>.",§78,selbst/mark,"Ihre Ausgaben(,)(C6.4) wie Fahrt- und Reisekosten(,)(C6.4) werden Ihnen erstattet.",,
C7,EIGENNAME:KEINNACHTRAG,darf nicht,"Bei Bestandteilen von mehrteiligen Eigennamen und vorangestellten Titeln ohne Artikel, die keine Zusätze/Nachträge sind, darf kein Komma gesetzt werden.",§77 (2) E2,mark,Alexander (C7) der Große. Direktor (C7) Professor Dr. med. Heinz Steiner führte uns durch das Institut.,,
C8,HINWEIS:GESETZ,darf nicht,"Bei mehrteíligen Hinweisen auf Gesetze und Verordnungen darf kein Komma gesetzt werden.",§77 (3),selbst,§6 (C8)Abs.2 (C8)Satz 3 der Verordnung.,,
D1,ANREDE,muss,"Bei Anreden muss ein Komma gesetzt werden.",§79 (1),mark,"Kinder,(D1) hört doch mal zu.",,
D2,AUSRUF,muss,"Bei Ausrufen muss ein Komma gesetzt werden.",§79 (2),mark,"Juhu,(D2) wir sind endlich fertig!",,
D3,BEKRÄFT,muss,"Bei Bejahungen, Verneinungen, Bekräftigungen und Bitten muss ein Komma gesetzt werden.",§79 (3),mark,"Ja,(D3) wir haben endlich Platz. Nein,(D3) wir haben keine Lust mehr. Das hat er gesagt,(D3) leider. Bitte,(D3) lass mich in Ruhe. ",,
E1,FEHLER,darf nicht,"Fehler","",mark,"In diesem Satz steht kein Komma.",,
E2,VORFELD,darf nicht,"Nach einem komplexen, nicht-verbhaltigen Vorfeld darf kein Komma gesetzt werden, da das Vorfeld ohne Verb nicht satzwertig ist.","Häufige Fehlerstelle",mark,"Nach dem Mittagessen (E2) mache ich gerne einen kleinen Mittagsschlaf.",,
